,Unnamed: 0,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
151,151,2019-11-01 00:00:01,view,17601982,2053013558895051365,,evelinecosmetics,7.34,515849878,31e80b9c-e5b3-437b-9112-c2a110e5c38a
157,157,2019-11-01 00:00:01,view,4600603,2053013563944993659,appliances.kitchen.dishwasher,bosch,684.44,526595547,aab33a9a-29c3-4d50-84c1-8a2bc9256104
163,163,2019-11-01 00:00:01,view,5700352,2053013553970938175,auto.accessories.player,pioneer,229.09,566279704,efd58a11-6fbf-4aa2-86c1-aad172f32fac
169,169,2019-11-01 00:00:01,view,5100797,2053013553341792533,electronics.clocks,garmin,2239.44,521368162,375da15e-023b-47a5-88f9-828c28637359
175,175,2019-11-01 00:00:01,view,24400436,2053013563215184719,,kirkland,10.17,515132797,714ead66-9c6b-4098-8d57-f855384a93a7
181,181,2019-11-01 00:00:01,view,5801483,2053013553945772349,electronics.audio.subwoofer,pioneer,58.69,549568904,d3f29ad2-b967-4655-8dca-70fe7bd89821
187,187,2019-11-01 00:00:01,view,12300231,2053013556311359947,construction.tools.drill,dewalt,150.95,517081324,bd1d99b3-0c06-4e1c-a6fe-8c797ff574dc
193,193,2019-11-01 00:00:01,view,12705258,2053013553559896355,,,72.59,565596995,7207de47-b6e7-4957-9f2e-0ec8c7067154
199,199,2019-11-01 00:00:01,view,21405259,2053013561579406073,electronics.clocks,armani,293.44,553802615,e09684bb-0c95-4f67-98d1-59fc593f3890
205,205,2019-11-01 00:00:01,view,21407128,2053013561579406073,electronics.clocks,tissot,380.96,513118352,4c14bf2a-2820-4504-929d-046356a5a204
211,211,2019-11-01 00:00:01,view,26400273,2053013563651392361,,lucente,224.46,561564372,3dc250b7-9bd1-4c96-a365-0bf42e4cf2ad
217,217,2019-11-01 00:00:01,view,4600355,2053013563944993659,appliances.kitchen.dishwasher,gorenje,498.64,526595547,aab33a9a-29c3-4d50-84c1-8a2bc9256104
223,223,2019-11-01 00:00:01,view,4804056,2053013554658804075,electronics.audio.headphone,apple,160.57,531584589,77d78dd0-90c2-4343-a379-fbef93a62ffe
229,229,2019-11-01 00:00:01,view,28715829,2116907519078040377,apparel.shoes,,62.81,518621750,6d7138cd-b28a-4f0b-9238-ec30453316d7
235,235,2019-11-01 00:00:01,view,40900007,2127425434894205468,construction.tools.painting,fubag,24.71,513998949,a7b196d9-afe5-4dc8-9648-d578fef55abf
241,241,2019-11-01 00:00:01,view,1005116,2053013555631882655,electronics.smartphone,apple,1013.86,532647354,d2d3d2c6-631d-489e-9fb5-06f340b85be0
247,247,2019-11-01 00:00:01,view,16000004,2053013558223962683,,rondell,43.73,546338507,90610c59-d92f-40b1-9b30-5f303eaeb124
253,253,2019-11-01 00:00:01,view,53900036,2144916515806248980,construction.tools.saw,dwt,48.35,565386300,87fa5d96-59bd-465c-87fb-8aac39baa571
259,259,2019-11-01 00:00:01,view,39700019,2084962304016777941,apparel.costume,,136.43,516426931,b36a7084-888d-4e37-bad4-cec9cfb1fbce
265,265,2019-11-01 00:00:01,view,34600044,2060981320581906480,,boyscout,9.01,512416379,4dfe2c67-e537-4dc2-ae69-0b65263db091
271,271,2019-11-01 00:00:01,view,1004785,2053013555631882655,electronics.smartphone,huawei,266.0,514171705,168955ad-db0f-4f0f-b71b-5dd8cfc9e113
277,277,2019-11-01 00:00:01,view,26400180,2053013563651392361,,,261.53,533351761,6229f7bc-7440-44dc-8768-d924071fb879
283,283,2019-11-01 00:00:01,view,15900117,2053013558190408249,,tefal,38.59,518574284,5e6ef132-4d7c-4730-8c7f-85aa4082588f
289,289,2019-11-01 00:00:02,view,17301026,2053013553853497655,,trussardi,59.13,563769246,95ab5d5d-be19-4118-84e9-534d65b7a687
295,295,2019-11-01 00:00:02,view,21407399,2053013561579406073,electronics.clocks,tissot,947.26,513118352,4c14bf2a-2820-4504-929d-046356a5a204
301,301,2019-11-01 00:00:02,view,1005115,2053013555631882655,electronics.smartphone,apple,949.47,518398361,282cd4e9-b89a-42c2-b04d-0ffdd119d3c3
307,307,2019-11-01 00:00:02,view,9002778,2053013553140465927,kids.toys,disney,10.35,566281096,b9b7e3e3-17f9-4877-a0f5-70719d1fffaf
313,313,2019-11-01 00:00:02,view,13101432,2053013553526341921,,skad,169.27,531968973,db237ad5-149f-4019-8533-67b61dca4bf9
